#{"t_start": 1758166183.2599487, "env_id": "SuperMarioBros-v2"}
r,l,t
6795.0,724,13.891572
7478.0,806,30.198686
2710.0,266,35.435272
6094.0,693,49.056678
5511.0,560,59.921296
