#{"t_start": 1758164591.473504, "env_id": "SuperMarioBros-v2"}
r,l,t
972.0,232,2.685377
2328.0,1468,13.830448
1417.0,1333,33.980769
1338.0,1339,55.578656
1633.0,2526,92.196166
1459.0,269,94.742487
2334.0,2640,140.559399
1787.0,725,165.163525
