#{"t_start": 1759569852.2790976, "env_id": "SuperMarioBros-v2"}
r,l,t
2030.0,1909,16.2284
1086.0,231,28.166685
1753.0,1826,44.327158
1189.0,523,59.656568
1474.0,337,62.852858
1073.0,275,65.412453
1981.0,1151,85.312531
967.0,278,87.882573
1174.0,412,91.692332
1327.0,928,100.003276
